                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0049,                  3.071,                 2.3289,                0.00056,                0.16319,                0.00037,                  7e-05,                 3.7632,                    inf,                 21.933,               0.070526,              0.0032749,              0.0032749
                      2,                 2.1505,                 3.1494,                 2.4277,                0.00021,                0.06323,                0.00014,                  4e-05,                 4.8114,                    inf,                 14.007,               0.040395,              0.0064773,              0.0064773
                      3,                  2.089,                  3.042,                  2.374,                0.33423,                0.16301,                0.00072,                0.00018,                 3.5383,                 62.442,                 5.8362,               0.010133,              0.0095478,              0.0095478
                      4,                 2.0381,                 2.9926,                 2.3436,                0.36284,                0.14784,                0.00647,                0.00139,                  3.073,                 56.166,                 4.8216,               0.009406,               0.009406,               0.009406
                      5,                 1.9498,                 2.8687,                 2.2713,                0.35097,                0.14967,                0.00758,                 0.0021,                 2.8155,                 49.465,                 4.4559,               0.009208,               0.009208,               0.009208
                      6,                 1.9444,                 2.8565,                 2.2624,                 0.5458,                0.13377,                 0.0984,                0.02661,                  2.456,                 9.2047,                  3.115,                0.00901,                0.00901,                0.00901
                      7,                 1.8978,                 2.7535,                 2.2165,                0.39403,                0.06725,                0.02714,                0.00777,                 2.5942,                 7.3548,                  3.467,               0.008812,               0.008812,               0.008812
                      8,                 1.8797,                 2.7493,                 2.2028,                0.68007,                0.14149,                0.12118,                0.03496,                 2.1942,                 4.5402,                 2.7318,               0.008614,               0.008614,               0.008614
                      9,                 1.8538,                 2.6922,                 2.1717,                 0.5908,                 0.2583,                0.19707,                0.05898,                 2.4154,                 4.2037,                 3.0209,               0.008416,               0.008416,               0.008416
                     10,                 1.8078,                 2.6321,                  2.115,                0.57906,                 0.1239,                0.09536,                0.02966,                 2.2565,                 4.2063,                 2.8431,               0.008218,               0.008218,               0.008218
                     11,                 1.7719,                 2.5204,                  2.079,                0.56983,                0.25151,                0.19841,                0.05615,                 2.3212,                 2.8083,                 2.7347,                0.00802,                0.00802,                0.00802
                     12,                 1.8031,                  2.471,                 2.0953,                0.54157,                0.19609,                0.15002,                0.04205,                 2.3224,                 4.2428,                 2.6934,               0.007822,               0.007822,               0.007822
                     13,                 1.7793,                 2.3963,                 2.0599,                 0.6408,                0.24708,                0.23782,                0.07209,                 2.2413,                 2.6041,                 2.5776,               0.007624,               0.007624,               0.007624
                     14,                 1.7847,                 2.4575,                 2.0763,                0.63848,                0.26959,                 0.2535,                 0.0845,                 2.3135,                 2.7098,                  2.702,               0.007426,               0.007426,               0.007426
                     15,                 1.7546,                 2.3717,                 2.0474,                0.65251,                0.23319,                0.25723,                0.08108,                 2.3005,                  2.644,                 2.6504,               0.007228,               0.007228,               0.007228
                     16,                 1.7237,                 2.3561,                 2.0221,                0.55105,                0.20632,                0.15168,                0.04119,                 2.4275,                 3.4685,                 2.8759,                0.00703,                0.00703,                0.00703
                     17,                 1.7339,                 2.3342,                  2.004,                0.68333,                0.18512,                0.19028,                0.05357,                 2.2078,                 3.1425,                 2.6116,               0.006832,               0.006832,               0.006832
                     18,                 1.7287,                 2.3038,                 2.0037,                0.67736,                0.25548,                0.27253,                0.06895,                 2.4143,                 2.6314,                 2.7458,               0.006634,               0.006634,               0.006634
                     19,                 1.7139,                  2.284,                 1.9949,                 0.6019,                0.23648,                0.23077,                0.07133,                 2.2437,                 2.8063,                 2.5331,               0.006436,               0.006436,               0.006436
